rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
248,Daulton Varsho,ARI,88,159,148,38,3,39.6%,7.5%,.257,.372,.115,5.7%,21.4%
249,Yoshi Tsutsugo,- - -,64,111,100,24,3,36.8%,12.0%,.240,.390,.150,7.2%,31.5%
250,David Peralta,ARI,92,131,119,27,2,30.1%,7.1%,.227,.361,.134,8.4%,19.8%
251,James McCann,NYM,89,160,141,32,4,37.4%,10.0%,.227,.348,.121,8.8%,22.5%
252,Luis Arraez,MIN,101,176,154,38,0,27.7%,0.0%,.247,.312,.065,10.8%,14.8%
253,Danny Mendick,CHW,60,106,98,25,2,40.3%,6.9%,.255,.337,.082,7.5%,22.6%
254,Joey Wendle,- - -,83,152,132,29,2,27.4%,7.7%,.220,.333,.114,9.2%,24.3%
255,Leury Garcia,CHW,105,178,162,44,1,24.4%,3.3%,.272,.352,.080,4.5%,22.5%
256,Adolis Garcia,TEX,139,300,284,62,14,41.1%,18.4%,.218,.415,.197,4.7%,33.0%
257,Jed Lowrie,OAK,98,226,206,51,3,37.1%,5.1%,.248,.340,.092,8.0%,21.7%
258,Harrison Bader,STL,73,127,117,26,4,48.3%,9.3%,.222,.376,.154,6.3%,22.0%
259,Matt Duffy,- - -,79,163,147,37,0,25.4%,0.0%,.252,.299,.048,8.6%,16.6%
260,Nicky Lopez,KCR,114,199,177,47,1,19.5%,3.4%,.266,.322,.056,5.5%,13.1%
261,Ben Gamel,- - -,81,141,125,30,1,37.1%,3.0%,.240,.336,.096,7.1%,24.1%
